Processed,Organism
"acinetobacterbaumonnilp
",Acinetobacter baumannii
acinetobacterbaunannii,Acinetobacter baumannii
"acinetobacterboumanii
",Acinetobacter baumannii
acinetobacterboumaniicomlex105cfuml,Acinetobacter baumannii
"acinetobacterboumaniicomplex
",Acinetobacter baumannii
acinetobacterboumaniicomplex105cfuml,Acinetobacter baumannii
"acinetobacterbumanii
",Acinetobacter baumannii
acinetobacterespp,Acinetobacter sp.
acinetobacterlwoffi,Acinetobacter lwoffii
"acinetobacterlwofii
",Acinetobacter lwoffii
acinetobactersp,Acinetobacter sp.
acinetobactersp103cfuml,Acinetobacter sp.
"acinetobacterspecies
",Acinetobacter sp.
acinetobacterspecies104cfuml,Acinetobacter sp.
"acinetobacterspp
",Acinetobacter sp.
acinetobacterspp103cfuml,Acinetobacter sp.
"acinetobacterspp104cfuml
",Acinetobacter sp.
acinetobacterspp105cfuml,Acinetobacter sp.
"acinetobacterspp106cfuml
",Acinetobacter sp.
acinetobacterspp10tothe3cfuml,Acinetobacter sp.
"acinetobacterspp3typesgnb
",Acinetobacter sp.
"acinetobactersppacenatobactersppcc105cfuml
",Acinetobacter sp.
acinetobactersppc100000cfuml,Acinetobacter sp.
"acinetobactersppc106cfuml
",Acinetobacter sp.
acinetobactersppcc00000cfuml,Acinetobacter sp.
"acinetobactersppcc100000cfuml
",Acinetobacter sp.
acinetobactersppcc10000cfuml,Acinetobacter sp.
"acinetobactersppcc102cfuml
",Acinetobacter sp.
acinetobactersppcc103cfum,Acinetobacter sp.
"acinetobactersppcc103cfuml
",Acinetobacter sp.
acinetobactersppcc103cfuuml,Acinetobacter sp.
"acinetobactersppcc104
",Acinetobacter sp.
acinetobactersppcc104cfuml,Acinetobacter sp.
"acinetobactersppcc105cful
",Acinetobacter sp.
acinetobactersppcc105cfuml,Acinetobacter sp.
"acinetobactersppcc106cfuml
",Acinetobacter sp.
acinetobactersppcc10cfuml,Acinetobacter sp.
"acinetobactersppcl105cfuml
",Acinetobacter sp.
acinetobactersppcountinsignificant,Acinetobacter sp.
"acinetobactersppinsignificantcount
",Acinetobacter sp.
"acinetobactersppinsignificantcountgrownonsubculture
",Acinetobacter sp.
acinetobacterureingi,Acinetobacter sp.
acinetobactor,Acinetobacter sp.
"acinetobactorspp
",Acinetobacter sp.
acinetobactorsspp,Acinetobacter sp.
acinetobecterspp,Acinetobacter sp.
"acinetobectersppcc103cfuml
",Acinetobacter sp.
acinetobectersppcc105cfuml,Acinetobacter sp.
"acinetonbacterspp
",Acinetobacter sp.
acromobacterdentifricans,Achromobacter denitrificans
aeromonasspp,Aeromonas sp.
"alcaligenesfaecaliscc105cfuml
",Alcaligenes faecalis
astapylococcusaureusmrsa,staphylococcus aureus mrsa
"atypicalescherichiacoli
",Escherichia coli
barkholderiasppcc103cfuml,Burkholderia sp.
"buddingyeastcellsgrownonculture
",Budding yeast
burekhlderiaspp,Burkholderia sp.
burekholdereiaspp,Burkholderia sp.
"burekholderiaspp
",Burkholderia sp.
burkholdariacenocephia,Burkholderia cenocepacia
"burkholdariasppcc104cfuml
",Burkholderia sp.
burkholderiacenocepacia,Burkholderia cenocepacia
"burkholderiacepacia
",Burkholderia cepacia
burkholderiacepaciacomplex,Burkholderia cepacia
burkholderiacepaciae,Burkholderia cepacia
"burkholderiaspp
",Burkholderia sp.
burkholderiaspp103cfuml,Burkholderia sp.
"burkholderiaspp105cfuml
",Burkholderia sp.
burkholderiasppcc102cfuml,Burkholderia sp.
"burkholderiasppcc103cfuml
",Burkholderia sp.
burkholderiasppcc104cfum,Burkholderia sp.
"burkholderiasppcc104cfuml
",Burkholderia sp.
burkholderiasppcc105cfuml,Burkholderia sp.
"burkholderiasppinsignificantcount
",Burkholderia sp.
burkholerasppcc105cfuml,Burkholderia sp.
burkhulderiaspp,Burkholderia sp.
"burkhulderiaspp103cfuml
",Burkholderia sp.
chryseobacteriumindologenes,Chryseobacterium indologenes
"cioagulasenegativestaphylococcussppmscons
",Coagulase-negative staphylococci
ciommensalfloragrownonculture,
"citerobacterediversus
",Citrobacter diversus
citrobacterdiveresi,Citrobacter diversus
citrobacterdiveresis,Citrobacter diversus
"citrobacterdiversm
",Citrobacter diversus
citrobacterdiversus,Citrobacter diversus
"citrobacterediveresus
",Citrobacter diversus
citrobacterfneundii104cfuml,Citrobacter freundii
"citrobacterfraundiicc104cfuml
",Citrobacter freundii
citrobacterfreaundii,Citrobacter freundii
"citrobacterfreiundi105cfuml
",Citrobacter freundii
citrobacterfreuandi,Citrobacter freundii
citrobacterfreundii,Citrobacter freundii
"citrobacterfreundii103cfuml
",Citrobacter freundii
citrobacterfreundii104cfuml,Citrobacter freundii
"citrobacterfreundii105cfuml
",Citrobacter freundii
citrobacterfreundiicc105cfuml,Citrobacter freundii
"citrobacterfrundii
",Citrobacter freundii
citrobacterfrundii105cfuml,Citrobacter freundii
"citrobacterkoseri
",Citrobacter koseri
citrobacterkoseri105cfuml,Citrobacter koseri
"citrobacterkosericc102cfuml
",Citrobacter koseri
citrobacterkosericc103cfuml,Citrobacter koseri
"citrobacterkosericc105cfuml
",Citrobacter koseri
citrobactersedialai,citrobacter edialai
citrobactersp,Citrobacter sp.
"citrobacterspecies
",Citrobacter sp.
citrobacterspecies103cfuml,Citrobacter sp.
citrobacterspp,Citrobacter sp.
"citrobacterspp103cfuml
",Citrobacter sp.
citrobacterspp104cfuml,Citrobacter sp.
"citrobacterspp105cfuml
",Citrobacter sp.
citrobactersppc105cfuml,Citrobacter sp.
"citrobactersppcc102cfuml
",Citrobacter sp.
citrobactersppcc103cfuml,Citrobacter sp.
"citrobactersppcc105cfuml
",Citrobacter sp.
citrobactersppcc10cfuml,Citrobacter sp.
"citrobactersppinsignificantcoun
",Citrobacter sp.
citrobactersppinsignificantcount,Citrobacter sp.
"citrobactersppsps104cfuml
",Citrobacter sp.
citrobactorspp,Citrobacter sp.
"coagilasenegativestaphylococci
",Coagulase-negative staphylococci
coagnagstaphylococcussppmscons,Coagulase-negative staphylococci
"coagnegativestaphylococcispp
",Coagulase-negative staphylococci
coagnegativestaphylococcusspp,Coagulase-negative staphylococci
"coagnegstaphcontaminants
",Coagulase-negative staphylococci
coagnegstaphylococcus,Coagulase-negative staphylococci
"coagnegstaphylococcus104cfuml
",Coagulase-negative staphylococci
coagnegstaphylococcus105cfumlmrcons,Coagulase-negative staphylococci
"coagnegstaphylococcusmscons
",Coagulase-negative staphylococci
coagnegstaphylococcusmscons104cfumlmscons,Coagulase-negative staphylococci
"coagnegstaphylococcusspp
",Coagulase-negative staphylococci
"coagnegstaphylococcussppmethicillinsensitivemscons
",Coagulase-negative staphylococci
coagnegstaphylococcussppmrcons,Coagulase-negative staphylococci
"coagnegstaphylococcussppmscons
",Coagulase-negative staphylococci
coagulasenagativestaphylococci,Coagulase-negative staphylococci
"coagulasenegatievstapylococcusmrcins
",Coagulase-negative staphylococci
"coagulasenegativemethicillinsensitivestaphylococcussppmscons
",Coagulase-negative staphylococci
coagulasenegativemsconsstaphylococci,Coagulase-negative staphylococci
"coagulasenegativestaph
",Coagulase-negative staphylococci
coagulasenegativestaphmrcons,Coagulase-negative staphylococci
"coagulasenegativestaphmscons
",Coagulase-negative staphylococci
"coagulasenegativestaphyloccoussppmscons
",Coagulase-negative staphylococci
coagulasenegativestaphylococci,Coagulase-negative staphylococci
"coagulasenegativestaphylococcicons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococciconsmr
",Coagulase-negative staphylococci
"coagulasenegativestaphylococciconsmss
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcicontaminants
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcimethicillinresistent
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcimethicillinsensitive
",Coagulase-negative staphylococci
coagulasenegativestaphylococcimr,Coagulase-negative staphylococci
"coagulasenegativestaphylococcimrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcimrcons104cfuml
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcimrs
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcimsconc
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcimscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcimscons104cfuml
",Coagulase-negative staphylococci
coagulasenegativestaphylococcimss,Coagulase-negative staphylococci
"coagulasenegativestaphylococcimssa
",Coagulase-negative staphylococci
"coagulasenegativestaphylococciresistanttomethicillin
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcisppmrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcisppmscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcistaphcapitis
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcsmscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcsspp
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcssppmrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcssppmscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcus
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcus103cfuml
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcus104cfuml
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusappmscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusaureus
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusaureusmscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcuscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusgrownkindlycorrelateclinically
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusgrownonculture
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusgrownonculturemrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusgrowonculturemrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusmethicillinresistant
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusmrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusmscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusmsconsgrown
",Coagulase-negative staphylococci
coagulasenegativestaphylococcusmss,Coagulase-negative staphylococci
"coagulasenegativestaphylococcussp
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusspeciesmrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcusspp
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcussppgrownonculturemscons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcussppmrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococcussppmscons
",Coagulase-negative staphylococci
coagulasenegativestaphylococus,Coagulase-negative staphylococci
"coagulasenegativestaphylococusmrcons
",Coagulase-negative staphylococci
"coagulasenegativestaphylococusmrconssihemolyticus
",Coagulase-negative staphylococci
"coagulasenegativestaphylococussp
",Coagulase-negative staphylococci
"coagulasenegativestaphylococussppmscons
",Coagulase-negative staphylococci
"coagulasenegativestaplylococcimscons
",Coagulase-negative staphylococci
"coagulasenegativestapylococcusaureus
",Coagulase-negative staphylococci
"coagulasenegativestapylococcusmrcons
",Coagulase-negative staphylococci
"coagulasenegativestapylococcusmscons
",Coagulase-negative staphylococci
"coagulasenegativestapylococcussppmscons
",Coagulase-negative staphylococci
"coagulasenegativesthaphylococcus
",Coagulase-negative staphylococci
"coagulasenegativestreptococcigrownonsubculture
",Coagulase-negative staphylococci
"coagulasenegayivestaphylococcussppmrcons
",Coagulase-negative staphylococci
"coagulasestaphylococcusmethicillinsensitive
",Coagulase-negative staphylococci
coagulasstaphylococcussppmscons,Coagulase-negative staphylococci
"coagulsenegativestaphylococcimrcons
",Coagulase-negative staphylococci
coagulsenegativestaphylococcussppcoagneg,Coagulase-negative staphylococci
"comensalfloragrownonculture
",Commensal-flora
commansalfloragrownonculture,Commensal-flora
"commensalflorageownonculture
",Commensal-flora
commensalfloragorwnonculture,Commensal-flora
"commensalfloragownonculture
",Commensal-flora
commensalfloragrown,Commensal-flora
"commensalfloragrownonculture
",Commensal-flora
commensalflowragrown,Commensal-flora
commesalfloragrown,Commensal-flora
cons,Coagulase-negative staphylococci
consmr,Coagulase-negative staphylococci
"consmss
",Coagulase-negative staphylococci
consskincontaminants,Coagulase-negative staphylococci
"contaminantsonlygrownonculture
",
"contaminantsonlygrownoncultureaerobicsporebearers
",
culturenegativeforneisseriagonorrhoeae,Neisseria-gonorrhoeae
"culturenegativeforngonorrhoeae
",Neisseria-gonorrhoeae
culturenegativegorneisseriagonorrhoeae,Neisseria-gonorrhoeae
"culturenegativegorngonorrhoeae
",Neisseria-gonorrhoeae
ds,
ecoli,Escherichia coli
ecoli105cfuml,Escherichia coli
ecshirichiacoli,Escherichia coli
"eecherichiacoli
",Escherichia coli
efaeciumcc103cfuml,Enterococcus faecium
efaeciumcc105cfuml,Enterococcus faecium
"efaeciumhlar
",Enterococcus faecium
elizabethkingiameningoseptica,Elizabethkingia meningoseptica
"entereococcusfaecalis
",‫‪Entro coccus faecalis
enterobacteraerogenes,Enterobacter aerogenes
enterobacteraerogens,Enterobacter aerogenes
"enterobacterbaumannii
",acinetobacter baumannii
enterobactercloaca,Enterobacter-cloacae
enterobactercloacae,Enterobacter-cloacae
"enterobactercloacaespp
",Enterobacter-cloacae
enterobactercloacecc104cfuml,Enterobacter-cloacae
"enterobacterfaecium
",Enterococcus-faecium
enterobacterhormaechei,Enterobacter-cloacae
enterobacteriacae,Enterobacteriaceae
"enterobactersp
",Enterobacteriaceae
enterobacterspecies,Enterobacteriaceae
enterobacterspecies105cfuml,Enterobacteriaceae
"enterobacterspp
",Enterobacteriaceae
enterobacterspp103cfuml,Enterobacteriaceae
"enterobacterspp104cfuml
",Enterobacteriaceae
enterobacterspp105cfum,Enterobacteriaceae
"enterobacterspp105cfuml
",Enterobacteriaceae
enterobacterspp105cufml,Enterobacteriaceae
"enterobacterspp106cfuml
",Enterobacteriaceae
enterobacterspp15colonies,Enterobacteriaceae
"enterobactersppcc102cfuml
",Enterobacteriaceae
enterobactersppcc103cfuml,Enterobacteriaceae
"enterobactersppcc104cfuml
",Enterobacteriaceae
enterobactersppcc105,Enterobacteriaceae
"enterobactersppcc105cfuml
",Enterobacteriaceae
enterobactersppcc106cfuml,Enterobacteriaceae
"enterobactersppinsignifiacantcount
",Enterobacteriaceae
enterobactersppinsignificantcount,Enterobacteriaceae
"enterobactersppklebsiellaspp
",Enterobacteriaceae
enterobactersps,Enterobacteriaceae
enterobactersps102cfuml,Enterobacteriaceae
"enterobactersps103cfuml
",Enterobacteriaceae
enterobactersps104cfuml,Enterobacteriaceae
"enterobactersps105cfuml
",Enterobacteriaceae
enterobactersps105cfuml105cfuml,Enterobacteriaceae
enterobactoerspp,Enterobacteriaceae
"enterobactorspp
",Enterobacteriaceae
enterococcousfaecium,Enterococcus-faecium
enterococcousfaeicum,Enterococcus-faecium
"enterococcus
",Enterococcus
enterococcus104cfuml,Enterococcus
"enterococcusfaecalis
",‫‪Entro coccus faecalis
enterococcusfaecalis104cfuml,‫‪Entro coccus faecalis
"enterococcusfaecalis105cfuml
",‫‪Entro coccus faecalis
"enterococcusfaecalis105cfumlhlarvevre
",‫‪Entro coccus faecalis
enterococcusfaecalis105cfumlhlra,‫‪Entro coccus faecalis
"enterococcusfaecaliscc103cfuml
",‫‪Entro coccus faecalis
enterococcusfaecaliscc104cfuml,‫‪Entro coccus faecalis
"enterococcusfaecaliscc105cfuml
",‫‪Entro coccus faecalis
enterococcusfaecalishlar,‫‪Entro coccus faecalis
"enterococcusfaecalishlarcc1045cfuml
",‫‪Entro coccus faecalis
enterococcusfaecalishlarcc105cfuml,‫‪Entro coccus faecalis
"enterococcusfaecalishlarvre
",‫‪Entro coccus faecalis
enterococcusfaecalisvre,‫‪Entro coccus faecalis
"enterococcusfaecium
",Enterococcus faecium
enterococcusfaecium103cfuml,Enterococcus faecium
"enterococcusfaecium103cfumlhlar
",Enterococcus faecium
enterococcusfaecium1045cfuml,Enterococcus faecium
"enterococcusfaecium104cfuml
",Enterococcus faecium
enterococcusfaecium104cfumlhlar,Enterococcus faecium
"enterococcusfaecium104cfumlhlra
",Enterococcus faecium
enterococcusfaecium104cufmlhlar,Enterococcus faecium
"enterococcusfaecium105cfuml
",Enterococcus faecium
enterococcusfaecium105cfumlhlar,Enterococcus faecium
"enterococcusfaeciumalar
",Enterococcus faecium
enterococcusfaeciumcc103cfuml,Enterococcus faecium
"enterococcusfaeciumcc103cfumlhlar
",Enterococcus faecium
enterococcusfaeciumcc1045cfumlvrehlar,Enterococcus faecium
"enterococcusfaeciumcc104cfuml
",Enterococcus faecium
"enterococcusfaeciumcc104cfumlhlar
",Enterococcus faecium
enterococcusfaeciumcc104cfumlhlarvre,Enterococcus faecium
"enterococcusfaeciumcc105cfuml
",Enterococcus faecium
enterococcusfaeciumcc105cfumlhlar,Enterococcus faecium
"enterococcusfaeciumcc105cfumlhlarve
",Enterococcus faecium
enterococcusfaeciumcc105cfumlhlarvre,Enterococcus faecium
"enterococcusfaeciumcfu104ml
",Enterococcus faecium
enterococcusfaeciumcfu105ml,Enterococcus faecium
"enterococcusfaeciumhlar
",Enterococcus faecium
enterococcusfaeciumhlar0,Enterococcus faecium
"enterococcusfaeciumhlar105cfuml
",Enterococcus faecium
enterococcusfaeciumhlarcc1034cfuml,Enterococcus faecium
"enterococcusfaeciumhlarcc104cfuml
",Enterococcus faecium
"enterococcusfaeciumhlarcc104cfumlhlar
",Enterococcus faecium
enterococcusfaeciumhlarcc105cfuml,Enterococcus faecium
"enterococcusfaeciumhlarpositive
",Enterococcus faecium
enterococcusfaeciumhlarve,Enterococcus faecium
"enterococcusfaeciumhlarvre
",Enterococcus faecium
enterococcusfaeciumhlarvrecc105cfuml,Enterococcus faecium
"enterococcusfaeciumhlra
",Enterococcus faecium
enterococcusfaeciumvre,Enterococcus faecium
"enterococcusfaeciumvrecc104cfuml
",Enterococcus faecium
enterococcusfaeciumvrecc105cfuml,Enterococcus faecium
"enterococcusfaeciumvrehlar
",Enterococcus faecium
"enterococcusfaeciumvrehlarcc104cfuml
",Enterococcus faecium
enterococcusfaeciumvrehlarcc105cfuml,Enterococcus faecium
"enterococcusfeaciumhlar
",Enterococcus faecium
enterococcusfecalishlar,‫‪Entro coccus faecalis
enterococcusfecium,Enterococcus faecium
"enterococcussp
", Enterococcus faecalis
enterococcusspecies, Enterococcus faecalis
enterococcusspecies105cfuml, Enterococcus faecalis
"enterococcusspp
", Enterococcus faecalis
enterococcusspp104cfumlhlar, Enterococcus faecalis
"enterococcusspp105cfuml
", Enterococcus faecalis
enterococcusspp105cfumlhlar, Enterococcus faecalis
"enterococcussppalis
", Enterococcus faecalis
enterococcussppcc104cfuml, Enterococcus faecalis
"enterococcussppcc105cfuml
", Enterococcus faecalis
enterococcusspphlar, Enterococcus faecalis
enterococcusspphlar105cfuml, Enterococcus faecalis
"enterococcusspphlra
", Enterococcus faecalis
enterococcussppvrecc105cfuml, Enterococcus faecalis
"enterococcussps
", Enterococcus faecalis
enterococcussps103cfuml, Enterococcus faecalis
"enterococcussps104cfuml
", Enterococcus faecalis
enterococcussps104cfumlhlar, Enterococcus faecalis
"enterococcussps105cfuml
", Enterococcus faecalis
enterococcussps105cfumlhlar, Enterococcus faecalis
"enterococcusspscc105cfuml
", Enterococcus faecalis
enterococcusspshlar, Enterococcus faecalis
enterococcusspshlar105cfuml, Enterococcus faecalis
"enterococcusspsvre
", Enterococcus faecalis
enterococusfaecium,Enterococcus faecium
"enterococusfaeciumhlar
",Enterococcus faecium
entescherichiacoli103cfuml,Escherichia coli
"entococcusfaeciumcc104cfumlhlar
",Enterococcus faecium
entrobactersppcc105cfuml,Enterobacter
"entrobectersppcc104cfuml
",Enterobacter
entrobectersppcc105cfuml,Enterobacter
"entrococcusfaecaliscc104cfuml
",Enterococcus faecium
entrococcusfaeciumcc104cfuml,Enterococcus faecium
"entrococcusfaeciumcc105cfuml
",Enterococcus faecium
entrococcussppcc105cfuml,Enterococcus
"entrococcusspphlarcc105cfuml
",Enterococcus
entrococcusspscc105cfuml,Enterococcus
erobacterspp,Enterobacter
"esccherichiacolicc104cfuml
",Escherichia coli
escerichiacolicc105cfuml,Escherichia coli
eschcoli,Escherichia coli
escherceriacoli,Escherichia coli
"escherchiacoli
",Escherichia coli
escherchiacolisps105cfuml,Escherichia coli
escherichacoli,Escherichia coli
"escherichiaclicc105cfuml
",
escherichiacoli,Escherichia coli
escherichiacoli102cfuml,Escherichia coli
"escherichiacoli1034cfuml
",Escherichia coli
escherichiacoli103cfum3,Escherichia coli
"escherichiacoli103cfuml
",Escherichia coli
escherichiacoli104cfuml,Escherichia coli
"escherichiacoli105cfuml
",Escherichia coli
escherichiacoli106cfuml,Escherichia coli
"escherichiacolic105cfuml
",Escherichia coli
escherichiacolicc102cfuml,Escherichia coli
"escherichiacolicc1034cfuml
",Escherichia coli
escherichiacolicc103cfuml,Escherichia coli
"escherichiacolicc1045cfuml
",Escherichia coli
escherichiacolicc104cfuml,Escherichia coli
"escherichiacolicc105cfuml
",Escherichia coli
escherichiacolicc105cfumlcc105cfuml,Escherichia coli
"escherichiacolicfu105ml
",Escherichia coli
escherichiacolicoli,Escherichia coli
"escherichiacoliinsignificantcount
",Escherichia coli
escherichicoli,Escherichia coli
escherichisacoli,Escherichia coli
"eschirichiacolicc105cfuml
",Escherichia coli
esdcherichiacoli,Escherichia coli
esherichiacoli,Escherichia coli
"esherichiacoli105cfuml
",Escherichia coli
firstlinedst,
flavobacteriumsppelizabethkingiameningoseptica,
"gnb
",
gnbunderidentification,
"gnbunderidentification103cfuml
",
gnbunderprocess,
gnbunderprocesses,
"gnbunderprocessing
",
gramnegativebacilli,Gram-negative 
"gramnegativebacilli103cfuml
",Gram-negative 
gramnegativebacilli104cfuml,Gram-negative 
"gramnegativebacillicfu103
",Gram-negative 
"gramnegativebacillinilfermenter
",Gram-negative 
"gramnegativebacillinilfermentercc12cfuml
",Gram-negative 
"gramnegativebacilliunderidentificatin
",Gram-negative 
"gramnegativebacilliunderidentification
",Gram-negative 
"gramnegativebacilliunderpreocessingcc103cfuml
",Gram-negative 
"gramnegativebacilliunderprocessingcc105cfuml
",Gram-negative 
gramnegativebacilliunderstudy,Gram-negative 
"gramnegativebacteriaunderidentificatin
",Gram-negative 
gramnegativebacteriaunderidentification,Gram-negative 
"gramnegbacilli
",Gram-negative 
gramnegbacillinontyphoid,Gram-negative 
"gramnegbacteriaunderidentification
",Gram-negative 
inactiveatypicalescherichiacoli,Escherichia coli
"insignificantgrowthobtained
",
kebsiellapneumoniaecc105cfuml,Klebsiella-pneumoniae
"kiebsiellapneumoniea
",Klebsiella-pneumoniae
klbsiellapneumoniaecc103cfuml,Klebsiella-pneumoniae
"klebpneumoniae
",Klebsiella-pneumoniae
klebseillapnecc104cfumlumoniae,Klebsiella-pneumoniae
"klebseillapnemoniacc104cfuml
",Klebsiella-pneumoniae
klebseillapneumoniacc104cfuml,Klebsiella-pneumoniae
"klebseillapneumoniacc105cfuml
",Klebsiella-pneumoniae
klebseillapneumoniae,Klebsiella-pneumoniae
"klebseillapneumoniaecc105cfuml
",Klebsiella-pneumoniae
klebseillapseudomonas,Klebsiella-pneumoniae
"klebseillasppcc105cfuml
",Klebsiella-pneumoniae
klebshiellapneumonie104cfuml,Klebsiella-pneumoniae
klebsiellaoxitoca,Klebsiella-oxytoca
"klebsiellaoxtoca
",Klebsiella-oxytoca
klebsiellaoxyfoca,Klebsiella-oxytoca
klebsiellaoxytica,Klebsiella-oxytoca
"klebsiellaoxytica105cfuml
",Klebsiella-oxytoca
klebsiellaoxytoca,Klebsiella-oxytoca
"klebsiellaoxytoca1034cfuml
",Klebsiella-oxytoca
klebsiellaoxytoca103cfuml,Klebsiella-oxytoca
"klebsiellaoxytoca104cfuml
",Klebsiella-oxytoca
klebsiellaoxytoca105cfuml,Klebsiella-oxytoca
"klebsiellaoxytocacc104cfuml
",Klebsiella-oxytoca
klebsiellaoxytocacc105cfuml,Klebsiella-oxytoca
"klebsiellaoxytocacc105sfuml
",Klebsiella-oxytoca
klebsiellaoxytocacolonycount105cfuml,Klebsiella-oxytoca
"klebsiellaoxytocae105cfuml
",Klebsiella-oxytoca
klebsiellaoxytocainsignifiacntcount,Klebsiella-oxytoca
"klebsiellapmeumoniae
",Klebsiella-pneumoniae
klebsiellapneauminiae,Klebsiella-pneumoniae
klebsiellapneaumonia,Klebsiella-pneumoniae
"klebsiellapneaumoniae
",Klebsiella-pneumoniae
klebsiellapnemoniacc105cfuml,Klebsiella-pneumoniae
"klebsiellapnemoniae
",Klebsiella-pneumoniae
klebsiellapnemoniaecc103cfuml,Klebsiella-pneumoniae
"klebsiellapnemoniaecc105cfuml
",Klebsiella-pneumoniae
klebsiellapnenumoneae,Klebsiella-pneumoniae
klebsiellapneuminiae,Klebsiella-pneumoniae
"klebsiellapneumonaiae
",Klebsiella-pneumoniae
klebsiellapneumonaiecc105cfuml,Klebsiella-pneumoniae
"klebsiellapneumoneia
",Klebsiella-pneumoniae
